Height to width ratio (H/W),Length to width ratio (L/W),Height to burden ratio (H/b),Effective in-hole explosive density (te/m3),Powder factor (m3/kg),Average delay per metre width of burden (ms/m),Cast percentage (%)
0.65,2.32,4.99,0.86,1.46,12.91,34.54
0.66,2.41,4.99,0.85,1.46,12.91,35.82
0.61,4.33,4.6,0.91,1.5,9.13,16.97
0.61,4.33,4.6,0.84,1.5,9.13,18.4
0.61,4.33,4.6,0.84,1.5,9.13,21.22
0.61,4.33,4.6,0.83,1.5,9.13,21.38
0.61,4.33,4.6,0.83,1.5,9.13,22.27
0.65,2.6,5.02,0.88,1.73,13.09,22.76
0.65,2.6,5.02,0.83,1.73,13.09,23.51
0.62,2.6,5.02,0.81,1.73,13.09,23.66
0.65,2.6,5.02,0.81,1.73,13.09,24.64
0.65,2.6,5.02,0.92,1.73,13.09,25.2
0.64,2.67,4.8,0.89,1.5,16.19,25.44
0.64,2.67,4.8,0.78,1.5,16.19,26.29
0.64,2.67,4.8,0.89,1.5,16.19,26.38
0.65,2.6,4.8,0.82,1.5,12.27,26.93
0.64,2.67,4.8,0.8,1.5,16.19,27
0.62,2.6,4.8,0.8,1.5,13.09,27.21
0.64,2.67,4.8,0.79,1.5,16.19,27.35
0.64,2.67,4.8,0.86,1.5,16.19,27.92
0.62,2.6,4.8,0.9,1.5,12.27,28.83
0.64,2.67,4.8,0.79,1.5,16.19,30.32
0.62,2.6,4.8,0.82,1.5,13.09,30.55
0.63,0.78,4.85,0.87,1.47,13.09,32.04
0.63,0.78,4.85,0.87,1.47,13.09,33.86
0.65,2.21,5,0.87,1.46,12.91,34.61
0.65,2.21,5,0.86,1.46,12.91,34.64
0.65,2.21,5,0.85,1.46,12.91,35.18
0.65,2.21,5,0.85,1.46,12.91,35.5
0.65,2.21,5,0.82,1.46,12.91,36.68
0.65,2.21,5,0.85,1.46,12.91,36.92
0.82,6.14,4.7,0.89,1.51,12.74,40.6
0.61,4.33,4.6,0.91,1.5,9.13,16.97
0.61,4.33,4.6,0.84,1.5,9.13,18.4
0.61,4.33,4.6,0.84,1.5,9.13,21.22
0.61,4.33,4.6,0.83,1.5,9.13,21.38
0.61,4.33,4.6,0.83,1.5,9.13,22.27
0.65,2.6,5.02,0.81,1.73,13.09,24.64
0.64,2.67,4.8,0.89,1.5,16.19,25.44
0.64,2.67,4.8,0.78,1.5,16.19,26.29
0.62,2.6,4.8,0.9,1.5,12.27,28.83
0.64,2.67,4.8,0.79,1.5,16.19,30.32
0.62,2.6,4.8,0.82,1.5,13.09,30.55
0.58,2.5,4.65,0.88,1.32,13.17,30.76
0.58,2.5,4.65,0.87,1.32,13.17,31.4
0.63,0.78,4.85,0.91,1.47,13.09,31.52
0.63,0.78,4.85,0.92,1.47,13.09,31.53
0.63,0.78,4.85,0.9,1.47,13.09,31.89
0.63,0.78,4.85,0.87,1.47,13.09,32.04
0.69,2.84,4.9,0.79,1.49,13.53,32.34
0.63,0.78,4.85,0.83,1.47,13.09,32.43
0.63,0.78,4.85,0.8,1.47,13.09,32.56
0.63,0.78,4.85,0.79,1.47,13.09,32.79
0.7,2.84,4.9,0.79,1.49,13.53,33.18
0.63,0.78,4.85,0.87,1.47,13.09,33.86
0.65,2.21,5,0.87,1.46,12.91,34.61
0.65,2.21,5,0.86,1.46,12.91,34.64
0.65,2.21,5,0.85,1.46,12.91,35.18
0.65,2.21,5,0.85,1.46,12.91,35.5
0.65,2.21,5,0.82,1.46,12.91,36.68
0.65,2.21,5,0.85,1.46,12.91,36.92
0.82,6.14,4.7,0.89,1.51,12.74,40.6
0.61,4.33,4.6,0.91,1.5,9.13,17.03
0.61,4.33,4.6,0.84,1.5,9.13,18.56
0.61,4.33,4.6,0.84,1.5,9.13,21.3
0.61,4.33,4.6,0.83,1.5,9.13,21.43
0.61,4.33,4.6,0.84,1.5,9.13,18.22
0.61,4.33,4.6,0.91,1.5,9.13,16.99
